time,cam
00:00:00,1
00:11:10,2
00:14:23,1
00:19:08,4
00:31:10,1
00:40:08,4
00:45:20,2
00:49:17,1
00:56:16,3
01:04:01,1
01:25:03,4
01:28:09,2
01:41:07,1
01:47:21,2
02:15:15,4
02:25:09,1
02:59:07,2
03:02:17,4
03:04:05,2
03:10:00,1
03:28:15,3
03:33:15,2
05:02:11,1
05:34:08,4
05:45:04,1
05:59:06,4
06:06:20,1
06:16:08,4
06:20:12,2
06:24:17,1
06:29:23,-1
